company,column,source,is_real
Grab Holdings,controversy_flags_g,calibrated,no
Grab Holdings,controversy_flags_s,calibrated,no
Grab Holdings,controversy_intensity_e,calibrated,no
Grab Holdings,controversy_intensity_g,calibrated,no
Grab Holdings,controversy_intensity_s,calibrated,no
Grab Holdings,country,calibrated,no
Grab Holdings,data_source,calibrated,no
Grab Holdings,diversity_women_pct,calibrated,no
Grab Holdings,diversity_women_pct_trend,calibrated,no
Grab Holdings,emissions_intensity,calibrated,no
Grab Holdings,emissions_intensity_trend,calibrated,no
Grab Holdings,employee_sentiment_trend,calibrated,no
Grab Holdings,env_fines_12mo,calibrated,no
Grab Holdings,esg_cagr_5yr,calibrated,no
Grab Holdings,esg_e_cagr,calibrated,no
Grab Holdings,esg_e_today,calibrated,no
Grab Holdings,esg_g_cagr,calibrated,no
Grab Holdings,esg_g_today,calibrated,no
Grab Holdings,esg_s_cagr,calibrated,no
Grab Holdings,esg_s_today,calibrated,no
Grab Holdings,esg_score_5yr_ago,calibrated,no
Grab Holdings,esg_score_today,calibrated,no
Grab Holdings,exec_turnover_12mo,calibrated,no
Grab Holdings,green_capex_pct,calibrated,no
Grab Holdings,green_capex_pct_trend,calibrated,no
Grab Holdings,hires_6mo,calibrated,no
Grab Holdings,hires_growth,calibrated,no
Grab Holdings,hires_per_m_rev,calibrated,no
Grab Holdings,hires_prev_6mo,calibrated,no
Grab Holdings,insider_sell_ratio,calibrated,no
Grab Holdings,labour_controversy_12mo,calibrated,no
Grab Holdings,litigation_actions_12mo,calibrated,no
Grab Holdings,pb_ratio,calibrated,no
Grab Holdings,pe_ratio,calibrated,no
Grab Holdings,renewable_pct,calibrated,no
Grab Holdings,renewable_pct_trend,calibrated,no
Grab Holdings,rev_growth_yoy,calibrated,no
Grab Holdings,revenue_usd_b,calibrated,no
Grab Holdings,say_do_gap,calibrated,no
Grab Holdings,sector,calibrated,no
Grab Holdings,sentiment_score,calibrated,no
Grab Holdings,sentiment_trend,calibrated,no
Grab Holdings,stated_commitments,calibrated,no
Grab Holdings,ticker,calibrated,no
GoTo Group,ai_earnings_mentions,calibrated,no
GoTo Group,ai_job_pct,calibrated,no
GoTo Group,ai_patent_count,calibrated,no
GoTo Group,board_independence_pct,calibrated,no
GoTo Group,board_independence_pct_trend,calibrated,no
GoTo Group,company,calibrated,no
GoTo Group,company_stage,calibrated,no
GoTo Group,controversy_flags_12mo,calibrated,no
GoTo Group,controversy_flags_e,calibrated,no
GoTo Group,controversy_flags_g,calibrated,no
GoTo Group,controversy_flags_s,calibrated,no
GoTo Group,controversy_intensity_e,calibrated,no
GoTo Group,controversy_intensity_g,calibrated,no
GoTo Group,controversy_intensity_s,calibrated,no
GoTo Group,country,calibrated,no
GoTo Group,data_source,calibrated,no
GoTo Group,diversity_women_pct,calibrated,no
GoTo Group,diversity_women_pct_trend,calibrated,no
GoTo Group,emissions_intensity,calibrated,no
GoTo Group,emissions_intensity_trend,calibrated,no
GoTo Group,employee_sentiment_trend,calibrated,no
GoTo Group,env_fines_12mo,calibrated,no
GoTo Group,esg_cagr_5yr,calibrated,no
GoTo Group,esg_e_cagr,calibrated,no
GoTo Group,esg_e_today,calibrated,no
GoTo Group,esg_g_cagr,calibrated,no
GoTo Group,esg_g_today,calibrated,no
GoTo Group,esg_s_cagr,calibrated,no
GoTo Group,esg_s_today,calibrated,no
GoTo Group,esg_score_5yr_ago,calibrated,no
GoTo Group,esg_score_today,calibrated,no
GoTo Group,exec_turnover_12mo,calibrated,no
GoTo Group,green_capex_pct,calibrated,no
GoTo Group,green_capex_pct_trend,calibrated,no
GoTo Group,hires_6mo,calibrated,no
GoTo Group,hires_growth,calibrated,no
GoTo Group,hires_per_m_rev,calibrated,no
GoTo Group,hires_prev_6mo,calibrated,no
GoTo Group,insider_sell_ratio,calibrated,no
GoTo Group,labour_controversy_12mo,calibrated,no
GoTo Group,litigation_actions_12mo,calibrated,no
GoTo Group,pb_ratio,calibrated,no
GoTo Group,pe_ratio,calibrated,no
GoTo Group,renewable_pct,calibrated,no
GoTo Group,renewable_pct_trend,calibrated,no
GoTo Group,rev_growth_yoy,calibrated,no
GoTo Group,revenue_usd_b,calibrated,no
GoTo Group,say_do_gap,calibrated,no
GoTo Group,sector,calibrated,no
GoTo Group,sentiment_score,calibrated,no
GoTo Group,sentiment_trend,calibrated,no
GoTo Group,stated_commitments,calibrated,no
GoTo Group,ticker,calibrated,no
FPT Corporation,ai_earnings_mentions,calibrated,no
FPT Corporation,ai_job_pct,calibrated,no
FPT Corporation,ai_patent_count,calibrated,no
FPT Corporation,board_independence_pct,calibrated,no
FPT Corporation,board_independence_pct_trend,calibrated,no
FPT Corporation,company,calibrated,no
FPT Corporation,company_stage,calibrated,no
FPT Corporation,controversy_flags_12mo,calibrated,no
FPT Corporation,controversy_flags_e,calibrated,no
FPT Corporation,controversy_flags_g,calibrated,no
FPT Corporation,controversy_flags_s,calibrated,no
FPT Corporation,controversy_intensity_e,calibrated,no
FPT Corporation,controversy_intensity_g,calibrated,no
FPT Corporation,controversy_intensity_s,calibrated,no
FPT Corporation,country,calibrated,no
FPT Corporation,data_source,calibrated,no
FPT Corporation,diversity_women_pct,calibrated,no
FPT Corporation,diversity_women_pct_trend,calibrated,no
FPT Corporation,emissions_intensity,calibrated,no
FPT Corporation,emissions_intensity_trend,calibrated,no
FPT Corporation,employee_sentiment_trend,calibrated,no
FPT Corporation,env_fines_12mo,calibrated,no
FPT Corporation,esg_cagr_5yr,calibrated,no
FPT Corporation,esg_e_cagr,calibrated,no
FPT Corporation,esg_e_today,calibrated,no
FPT Corporation,esg_g_cagr,calibrated,no
FPT Corporation,esg_g_today,calibrated,no
FPT Corporation,esg_s_cagr,calibrated,no
FPT Corporation,esg_s_today,calibrated,no
FPT Corporation,esg_score_5yr_ago,calibrated,no
FPT Corporation,esg_score_today,calibrated,no
FPT Corporation,exec_turnover_12mo,calibrated,no
FPT Corporation,green_capex_pct,calibrated,no
FPT Corporation,green_capex_pct_trend,calibrated,no
FPT Corporation,hires_6mo,calibrated,no
FPT Corporation,hires_growth,calibrated,no
FPT Corporation,hires_per_m_rev,calibrated,no
FPT Corporation,hires_prev_6mo,calibrated,no
FPT Corporation,insider_sell_ratio,calibrated,no
FPT Corporation,labour_controversy_12mo,calibrated,no
FPT Corporation,litigation_actions_12mo,calibrated,no
FPT Corporation,pb_ratio,calibrated,no
FPT Corporation,pe_ratio,calibrated,no
FPT Corporation,renewable_pct,calibrated,no
FPT Corporation,renewable_pct_trend,calibrated,no
FPT Corporation,rev_growth_yoy,calibrated,no
FPT Corporation,revenue_usd_b,calibrated,no
FPT Corporation,say_do_gap,calibrated,no
FPT Corporation,sector,calibrated,no
FPT Corporation,sentiment_score,calibrated,no
FPT Corporation,sentiment_trend,calibrated,no
FPT Corporation,stated_commitments,calibrated,no
FPT Corporation,ticker,calibrated,no
Vingroup,ai_earnings_mentions,calibrated,no
Vingroup,ai_job_pct,calibrated,no
Vingroup,ai_patent_count,calibrated,no
Vingroup,board_independence_pct,calibrated,no
Vingroup,board_independence_pct_trend,calibrated,no
Vingroup,company,calibrated,no
Vingroup,company_stage,calibrated,no
Vingroup,controversy_flags_12mo,calibrated,no
Vingroup,controversy_flags_e,calibrated,no
Vingroup,controversy_flags_g,calibrated,no
Vingroup,controversy_flags_s,calibrated,no
Vingroup,controversy_intensity_e,calibrated,no
Vingroup,controversy_intensity_g,calibrated,no
Vingroup,controversy_intensity_s,calibrated,no
Vingroup,country,calibrated,no
Vingroup,data_source,calibrated,no
Vingroup,diversity_women_pct,calibrated,no
Vingroup,diversity_women_pct_trend,calibrated,no
Vingroup,emissions_intensity,calibrated,no
Vingroup,emissions_intensity_trend,calibrated,no
Vingroup,employee_sentiment_trend,calibrated,no
Vingroup,env_fines_12mo,calibrated,no
Vingroup,esg_cagr_5yr,calibrated,no
Vingroup,esg_e_cagr,calibrated,no
Vingroup,esg_e_today,calibrated,no
Vingroup,esg_g_cagr,calibrated,no
Vingroup,esg_g_today,calibrated,no
Vingroup,esg_s_cagr,calibrated,no
Vingroup,esg_s_today,calibrated,no
Vingroup,esg_score_5yr_ago,calibrated,no
Vingroup,esg_score_today,calibrated,no
Vingroup,exec_turnover_12mo,calibrated,no
Vingroup,green_capex_pct,calibrated,no
Vingroup,green_capex_pct_trend,calibrated,no
Vingroup,hires_6mo,calibrated,no
Vingroup,hires_growth,calibrated,no
Vingroup,hires_per_m_rev,calibrated,no
Vingroup,hires_prev_6mo,calibrated,no
Vingroup,insider_sell_ratio,calibrated,no
Vingroup,labour_controversy_12mo,calibrated,no
Vingroup,litigation_actions_12mo,calibrated,no
Vingroup,pb_ratio,calibrated,no
Vingroup,pe_ratio,calibrated,no
Vingroup,renewable_pct,calibrated,no
Vingroup,renewable_pct_trend,calibrated,no
Vingroup,rev_growth_yoy,calibrated,no
Vingroup,revenue_usd_b,calibrated,no
Vingroup,say_do_gap,calibrated,no
Vingroup,sector,calibrated,no
Vingroup,sentiment_score,calibrated,no
Vingroup,sentiment_trend,calibrated,no
Vingroup,stated_commitments,calibrated,no
Vingroup,ticker,calibrated,no
PLDT,ai_earnings_mentions,calibrated,no
PLDT,ai_job_pct,calibrated,no
PLDT,ai_patent_count,calibrated,no
PLDT,board_independence_pct,calibrated,no
PLDT,board_independence_pct_trend,calibrated,no
PLDT,company,calibrated,no
PLDT,company_stage,calibrated,no
PLDT,controversy_flags_12mo,calibrated,no
PLDT,controversy_flags_e,calibrated,no
PLDT,controversy_flags_g,calibrated,no
PLDT,controversy_flags_s,calibrated,no
PLDT,controversy_intensity_e,calibrated,no
PLDT,controversy_intensity_g,calibrated,no
PLDT,controversy_intensity_s,calibrated,no
PLDT,country,calibrated,no
PLDT,data_source,calibrated,no
PLDT,diversity_women_pct,calibrated,no
PLDT,diversity_women_pct_trend,calibrated,no
PLDT,emissions_intensity,calibrated,no
PLDT,emissions_intensity_trend,calibrated,no
PLDT,employee_sentiment_trend,calibrated,no
PLDT,env_fines_12mo,calibrated,no
PLDT,esg_cagr_5yr,calibrated,no
PLDT,esg_e_cagr,calibrated,no
PLDT,esg_e_today,calibrated,no
PLDT,esg_g_cagr,calibrated,no
PLDT,esg_g_today,calibrated,no
PLDT,esg_s_cagr,calibrated,no
PLDT,esg_s_today,calibrated,no
PLDT,esg_score_5yr_ago,calibrated,no
PLDT,esg_score_today,calibrated,no
PLDT,exec_turnover_12mo,calibrated,no
PLDT,green_capex_pct,calibrated,no
PLDT,green_capex_pct_trend,calibrated,no
PLDT,hires_6mo,calibrated,no
PLDT,hires_growth,calibrated,no
PLDT,hires_per_m_rev,calibrated,no
PLDT,hires_prev_6mo,calibrated,no
PLDT,insider_sell_ratio,calibrated,no
PLDT,labour_controversy_12mo,calibrated,no
PLDT,litigation_actions_12mo,calibrated,no
PLDT,pb_ratio,calibrated,no
PLDT,pe_ratio,calibrated,no
PLDT,renewable_pct,calibrated,no
PLDT,renewable_pct_trend,calibrated,no
PLDT,rev_growth_yoy,calibrated,no
PLDT,revenue_usd_b,calibrated,no
PLDT,say_do_gap,calibrated,no
PLDT,sector,calibrated,no
PLDT,sentiment_score,calibrated,no
PLDT,sentiment_trend,calibrated,no
PLDT,stated_commitments,calibrated,no
PLDT,ticker,calibrated,no
DBS Group,ai_earnings_mentions,calibrated,no
DBS Group,ai_job_pct,calibrated,no
DBS Group,ai_patent_count,calibrated,no
DBS Group,board_independence_pct,calibrated,no
DBS Group,board_independence_pct_trend,calibrated,no
DBS Group,company,calibrated,no
DBS Group,company_stage,calibrated,no
DBS Group,controversy_flags_12mo,calibrated,no
DBS Group,controversy_flags_e,calibrated,no
DBS Group,controversy_flags_g,calibrated,no
DBS Group,controversy_flags_s,calibrated,no
DBS Group,controversy_intensity_e,calibrated,no
DBS Group,controversy_intensity_g,calibrated,no
DBS Group,controversy_intensity_s,calibrated,no
DBS Group,country,calibrated,no
DBS Group,data_source,calibrated,no
DBS Group,diversity_women_pct,calibrated,no
DBS Group,diversity_women_pct_trend,calibrated,no
DBS Group,emissions_intensity,calibrated,no
DBS Group,emissions_intensity_trend,calibrated,no
DBS Group,employee_sentiment_trend,calibrated,no
DBS Group,env_fines_12mo,calibrated,no
DBS Group,esg_cagr_5yr,calibrated,no
DBS Group,esg_e_cagr,calibrated,no
DBS Group,esg_e_today,calibrated,no
DBS Group,esg_g_cagr,calibrated,no
DBS Group,esg_g_today,calibrated,no
DBS Group,esg_s_cagr,calibrated,no
DBS Group,esg_s_today,calibrated,no
DBS Group,esg_score_5yr_ago,calibrated,no
DBS Group,esg_score_today,calibrated,no
DBS Group,exec_turnover_12mo,calibrated,no
DBS Group,green_capex_pct,calibrated,no
DBS Group,green_capex_pct_trend,calibrated,no
DBS Group,hires_6mo,calibrated,no
DBS Group,hires_growth,calibrated,no
DBS Group,hires_per_m_rev,calibrated,no
DBS Group,hires_prev_6mo,calibrated,no
DBS Group,insider_sell_ratio,calibrated,no
DBS Group,labour_controversy_12mo,calibrated,no
DBS Group,litigation_actions_12mo,calibrated,no
DBS Group,pb_ratio,calibrated,no
DBS Group,pe_ratio,calibrated,no
DBS Group,renewable_pct,calibrated,no
DBS Group,renewable_pct_trend,calibrated,no
DBS Group,rev_growth_yoy,calibrated,no
DBS Group,revenue_usd_b,calibrated,no
DBS Group,say_do_gap,calibrated,no
DBS Group,sector,calibrated,no
DBS Group,sentiment_score,calibrated,no
DBS Group,sentiment_trend,calibrated,no
DBS Group,stated_commitments,calibrated,no
DBS Group,ticker,calibrated,no
CapitaLand Invest,ai_earnings_mentions,calibrated,no
CapitaLand Invest,ai_job_pct,calibrated,no
CapitaLand Invest,ai_patent_count,calibrated,no
CapitaLand Invest,board_independence_pct,calibrated,no
CapitaLand Invest,board_independence_pct_trend,calibrated,no
CapitaLand Invest,company,calibrated,no
CapitaLand Invest,company_stage,calibrated,no
CapitaLand Invest,controversy_flags_12mo,calibrated,no
CapitaLand Invest,controversy_flags_e,calibrated,no
CapitaLand Invest,controversy_flags_g,calibrated,no
CapitaLand Invest,controversy_flags_s,calibrated,no
CapitaLand Invest,controversy_intensity_e,calibrated,no
CapitaLand Invest,controversy_intensity_g,calibrated,no
CapitaLand Invest,controversy_intensity_s,calibrated,no
CapitaLand Invest,country,calibrated,no
CapitaLand Invest,data_source,calibrated,no
CapitaLand Invest,diversity_women_pct,calibrated,no
CapitaLand Invest,diversity_women_pct_trend,calibrated,no
CapitaLand Invest,emissions_intensity,calibrated,no
CapitaLand Invest,emissions_intensity_trend,calibrated,no
CapitaLand Invest,employee_sentiment_trend,calibrated,no
CapitaLand Invest,env_fines_12mo,calibrated,no
CapitaLand Invest,esg_cagr_5yr,calibrated,no
CapitaLand Invest,esg_e_cagr,calibrated,no
CapitaLand Invest,esg_e_today,calibrated,no
CapitaLand Invest,esg_g_cagr,calibrated,no
CapitaLand Invest,esg_g_today,calibrated,no
CapitaLand Invest,esg_s_cagr,calibrated,no
CapitaLand Invest,esg_s_today,calibrated,no
CapitaLand Invest,esg_score_5yr_ago,calibrated,no
CapitaLand Invest,esg_score_today,calibrated,no
CapitaLand Invest,exec_turnover_12mo,calibrated,no
CapitaLand Invest,green_capex_pct,calibrated,no
CapitaLand Invest,green_capex_pct_trend,calibrated,no
CapitaLand Invest,hires_6mo,calibrated,no
CapitaLand Invest,hires_growth,calibrated,no
CapitaLand Invest,hires_per_m_rev,calibrated,no
CapitaLand Invest,hires_prev_6mo,calibrated,no
CapitaLand Invest,insider_sell_ratio,calibrated,no
CapitaLand Invest,labour_controversy_12mo,calibrated,no
CapitaLand Invest,litigation_actions_12mo,calibrated,no
CapitaLand Invest,pb_ratio,calibrated,no
CapitaLand Invest,pe_ratio,calibrated,no
CapitaLand Invest,renewable_pct,calibrated,no
CapitaLand Invest,renewable_pct_trend,calibrated,no
CapitaLand Invest,rev_growth_yoy,calibrated,no
CapitaLand Invest,revenue_usd_b,calibrated,no
CapitaLand Invest,say_do_gap,calibrated,no
CapitaLand Invest,sector,calibrated,no
CapitaLand Invest,sentiment_score,calibrated,no
CapitaLand Invest,sentiment_trend,calibrated,no
CapitaLand Invest,stated_commitments,calibrated,no
CapitaLand Invest,ticker,calibrated,no
CIMB Group,ai_earnings_mentions,calibrated,no
CIMB Group,ai_job_pct,calibrated,no
CIMB Group,ai_patent_count,calibrated,no
CIMB Group,board_independence_pct,calibrated,no
CIMB Group,board_independence_pct_trend,calibrated,no
CIMB Group,company,calibrated,no
CIMB Group,company_stage,calibrated,no
CIMB Group,controversy_flags_12mo,calibrated,no
CIMB Group,controversy_flags_e,calibrated,no
CIMB Group,controversy_flags_g,calibrated,no
CIMB Group,controversy_flags_s,calibrated,no
CIMB Group,controversy_intensity_e,calibrated,no
CIMB Group,controversy_intensity_g,calibrated,no
CIMB Group,controversy_intensity_s,calibrated,no
CIMB Group,country,calibrated,no
CIMB Group,data_source,calibrated,no
CIMB Group,diversity_women_pct,calibrated,no
CIMB Group,diversity_women_pct_trend,calibrated,no
CIMB Group,emissions_intensity,calibrated,no
CIMB Group,emissions_intensity_trend,calibrated,no
CIMB Group,employee_sentiment_trend,calibrated,no
CIMB Group,env_fines_12mo,calibrated,no
CIMB Group,esg_cagr_5yr,calibrated,no
CIMB Group,esg_e_cagr,calibrated,no
CIMB Group,esg_e_today,calibrated,no
CIMB Group,esg_g_cagr,calibrated,no
CIMB Group,esg_g_today,calibrated,no
CIMB Group,esg_s_cagr,calibrated,no
CIMB Group,esg_s_today,calibrated,no
CIMB Group,esg_score_5yr_ago,calibrated,no
CIMB Group,esg_score_today,calibrated,no
CIMB Group,exec_turnover_12mo,calibrated,no
CIMB Group,green_capex_pct,calibrated,no
CIMB Group,green_capex_pct_trend,calibrated,no
CIMB Group,hires_6mo,calibrated,no
CIMB Group,hires_growth,calibrated,no
CIMB Group,hires_per_m_rev,calibrated,no
CIMB Group,hires_prev_6mo,calibrated,no
CIMB Group,insider_sell_ratio,calibrated,no
CIMB Group,labour_controversy_12mo,calibrated,no
CIMB Group,litigation_actions_12mo,calibrated,no
CIMB Group,pb_ratio,calibrated,no
CIMB Group,pe_ratio,calibrated,no
CIMB Group,renewable_pct,calibrated,no
CIMB Group,renewable_pct_trend,calibrated,no
CIMB Group,rev_growth_yoy,calibrated,no
CIMB Group,revenue_usd_b,calibrated,no
CIMB Group,say_do_gap,calibrated,no
CIMB Group,sector,calibrated,no
CIMB Group,sentiment_score,calibrated,no
CIMB Group,sentiment_trend,calibrated,no
CIMB Group,stated_commitments,calibrated,no
CIMB Group,ticker,calibrated,no
Bank Central Asia,ai_earnings_mentions,calibrated,no
Bank Central Asia,ai_job_pct,calibrated,no
Bank Central Asia,ai_patent_count,calibrated,no
Bank Central Asia,board_independence_pct,calibrated,no
Bank Central Asia,board_independence_pct_trend,calibrated,no
Bank Central Asia,company,calibrated,no
Bank Central Asia,company_stage,calibrated,no
Bank Central Asia,controversy_flags_12mo,calibrated,no
Bank Central Asia,controversy_flags_e,calibrated,no
Bank Central Asia,controversy_flags_g,calibrated,no
Bank Central Asia,controversy_flags_s,calibrated,no
Bank Central Asia,controversy_intensity_e,calibrated,no
Bank Central Asia,controversy_intensity_g,calibrated,no
Bank Central Asia,controversy_intensity_s,calibrated,no
Bank Central Asia,country,calibrated,no
Bank Central Asia,data_source,calibrated,no
Bank Central Asia,diversity_women_pct,calibrated,no
Bank Central Asia,diversity_women_pct_trend,calibrated,no
Bank Central Asia,emissions_intensity,calibrated,no
Bank Central Asia,emissions_intensity_trend,calibrated,no
Bank Central Asia,employee_sentiment_trend,calibrated,no
Bank Central Asia,env_fines_12mo,calibrated,no
Bank Central Asia,esg_cagr_5yr,calibrated,no
Bank Central Asia,esg_e_cagr,calibrated,no
Bank Central Asia,esg_e_today,calibrated,no
Bank Central Asia,esg_g_cagr,calibrated,no
Bank Central Asia,esg_g_today,calibrated,no
Bank Central Asia,esg_s_cagr,calibrated,no
Bank Central Asia,esg_s_today,calibrated,no
Bank Central Asia,esg_score_5yr_ago,calibrated,no
Bank Central Asia,esg_score_today,calibrated,no
Bank Central Asia,exec_turnover_12mo,calibrated,no
Bank Central Asia,green_capex_pct,calibrated,no
Bank Central Asia,green_capex_pct_trend,calibrated,no
Bank Central Asia,hires_6mo,calibrated,no
Bank Central Asia,hires_growth,calibrated,no
Bank Central Asia,hires_per_m_rev,calibrated,no
Bank Central Asia,hires_prev_6mo,calibrated,no
Bank Central Asia,insider_sell_ratio,calibrated,no
Bank Central Asia,labour_controversy_12mo,calibrated,no
Bank Central Asia,litigation_actions_12mo,calibrated,no
Bank Central Asia,pb_ratio,calibrated,no
Bank Central Asia,pe_ratio,calibrated,no
Bank Central Asia,renewable_pct,calibrated,no
Bank Central Asia,renewable_pct_trend,calibrated,no
Bank Central Asia,rev_growth_yoy,calibrated,no
Bank Central Asia,revenue_usd_b,calibrated,no
Bank Central Asia,say_do_gap,calibrated,no
Bank Central Asia,sector,calibrated,no
Bank Central Asia,sentiment_score,calibrated,no
Bank Central Asia,sentiment_trend,calibrated,no
Bank Central Asia,stated_commitments,calibrated,no
Bank Central Asia,ticker,calibrated,no
Kasikornbank,ai_earnings_mentions,calibrated,no
Kasikornbank,ai_job_pct,calibrated,no
Kasikornbank,ai_patent_count,calibrated,no
Kasikornbank,board_independence_pct,calibrated,no
Kasikornbank,board_independence_pct_trend,calibrated,no
Kasikornbank,company,calibrated,no
Kasikornbank,company_stage,calibrated,no
Kasikornbank,controversy_flags_12mo,calibrated,no
Kasikornbank,controversy_flags_e,calibrated,no
Kasikornbank,controversy_flags_g,calibrated,no
Kasikornbank,controversy_flags_s,calibrated,no
Kasikornbank,controversy_intensity_e,calibrated,no
Kasikornbank,controversy_intensity_g,calibrated,no
Kasikornbank,controversy_intensity_s,calibrated,no
Kasikornbank,country,calibrated,no
Kasikornbank,data_source,calibrated,no
Kasikornbank,diversity_women_pct,calibrated,no
Kasikornbank,diversity_women_pct_trend,calibrated,no
Kasikornbank,emissions_intensity,calibrated,no
Kasikornbank,emissions_intensity_trend,calibrated,no
Kasikornbank,employee_sentiment_trend,calibrated,no
Kasikornbank,env_fines_12mo,calibrated,no
Kasikornbank,esg_cagr_5yr,calibrated,no
Kasikornbank,esg_e_cagr,calibrated,no
Kasikornbank,esg_e_today,calibrated,no
Kasikornbank,esg_g_cagr,calibrated,no
Kasikornbank,esg_g_today,calibrated,no
Kasikornbank,esg_s_cagr,calibrated,no
Kasikornbank,esg_s_today,calibrated,no
Kasikornbank,esg_score_5yr_ago,calibrated,no
Kasikornbank,esg_score_today,calibrated,no
Kasikornbank,exec_turnover_12mo,calibrated,no
Kasikornbank,green_capex_pct,calibrated,no
Kasikornbank,green_capex_pct_trend,calibrated,no
Kasikornbank,hires_6mo,calibrated,no
Kasikornbank,hires_growth,calibrated,no
Kasikornbank,hires_per_m_rev,calibrated,no
Kasikornbank,hires_prev_6mo,calibrated,no
Kasikornbank,insider_sell_ratio,calibrated,no
Kasikornbank,labour_controversy_12mo,calibrated,no
Kasikornbank,litigation_actions_12mo,calibrated,no
Kasikornbank,pb_ratio,calibrated,no
Kasikornbank,pe_ratio,calibrated,no
Kasikornbank,renewable_pct,calibrated,no
Kasikornbank,renewable_pct_trend,calibrated,no
Kasikornbank,rev_growth_yoy,calibrated,no
Kasikornbank,revenue_usd_b,calibrated,no
Kasikornbank,say_do_gap,calibrated,no
Kasikornbank,sector,calibrated,no
Kasikornbank,sentiment_score,calibrated,no
Kasikornbank,sentiment_trend,calibrated,no
Kasikornbank,stated_commitments,calibrated,no
Kasikornbank,ticker,calibrated,no
Maybank,ai_earnings_mentions,calibrated,no
Maybank,ai_job_pct,calibrated,no
Maybank,ai_patent_count,calibrated,no
Maybank,board_independence_pct,calibrated,no
Maybank,board_independence_pct_trend,calibrated,no
Maybank,company,calibrated,no
Maybank,company_stage,calibrated,no
Maybank,controversy_flags_12mo,calibrated,no
Maybank,controversy_flags_e,calibrated,no
Maybank,controversy_flags_g,calibrated,no
Maybank,controversy_flags_s,calibrated,no
Maybank,controversy_intensity_e,calibrated,no
Maybank,controversy_intensity_g,calibrated,no
Maybank,controversy_intensity_s,calibrated,no
Maybank,country,calibrated,no
Maybank,data_source,calibrated,no
Maybank,diversity_women_pct,calibrated,no
Maybank,diversity_women_pct_trend,calibrated,no
Maybank,emissions_intensity,calibrated,no
Maybank,emissions_intensity_trend,calibrated,no
Maybank,employee_sentiment_trend,calibrated,no
Maybank,env_fines_12mo,calibrated,no
Maybank,esg_cagr_5yr,calibrated,no
Maybank,esg_e_cagr,calibrated,no
Maybank,esg_e_today,calibrated,no
Maybank,esg_g_cagr,calibrated,no
Maybank,esg_g_today,calibrated,no
Maybank,esg_s_cagr,calibrated,no
Maybank,esg_s_today,calibrated,no
Maybank,esg_score_5yr_ago,calibrated,no
Maybank,esg_score_today,calibrated,no
Maybank,exec_turnover_12mo,calibrated,no
Maybank,green_capex_pct,calibrated,no
